gse	title.x	submission_date.x	type.x	summary	organism_ch1	tlr1	tlr10	tlr2	tlr3	tlr4	tlr5	tlr6	tlr7	tlr8	tlr9
GSE40593	Impaired intrinsic immunity to HSV-1  in human iPSC-derived TLR3-deficient CNS cells	41156	Expression profiling by array	"In the course of primary infection with herpes simplex virus 1 (HSV-1), children with inborn errors of the TLR3- and UNC-93B-dependent induction of IFN-α/β and/or IFN-λ immunity are prone to HSV-1 encephalitis (HSE) 1-3. The cells responsible for HSE in these children have yet to be identified. We tested the hypothesis that the pathogenesis of HSE involves non hematopoietic central nervous system (CNS)-resident cells. We derived induced pluripotent stem cells (iPSCs) from the dermal fibroblasts of TLR3- and UNC-93B-deficient patients and from controls. These iPSCs were allowed to differentiate into highly purified populations of neural stem cells (NSCs), neurons, astrocytes and oligodendrocytes. The induction of IFN-β and/or IFN-λ1 in response to poly(I:C) stimulation was dependent on TLR3 and UNC-93B in all cells tested. However, the induction of IFN-β and IFN-λ1 in response to HSV-1 infection was impaired selectively in UNC-93B-deficient neurons and oligodendrocytes. These cells were also much more susceptible to HSV-1 infection than control cells, whereas UNC-93B-deficient NSCs and astrocytes were not. The rescue of UNC-93B-deficient cells with the wild-type UNC93B1 allele demonstrated the genetic defect as the cause of the poly(I:C) and HSV-1 phenotypes. The viral infection phenotype was further rescued by treatment with exogenous IFN-α/β, but not IFN-λ1. TLR3-deficient neurons were also found to be susceptible to HSV-1 infection, a phenotype rescued by wild-type TLR3. Thus, impaired TLR3- and UNC-93B-dependent IFN-α/β intrinsic immunity to HSV-1 in the CNS, in neurons and oligodendrocytes in particular, may underlie the pathogenesis of HSE in children with TLR3 pathway deficiencies"	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE40812	Impaired TLR3-mediated immune responses from macrophages of patients chronically infected with Hepatitis C virus	41164	Expression profiling by array	"Hepatitis C virus (HCV) is the most common chronic blood-borne infection in the United States with the majority of patients becoming chronically infected and a subset (20%) progressing to cirrhosis and hepatocellular carcinoma. Individual variations in immune responses may help define successful resistance to infection with HCV. We have examined the immune response in primary macrophages from patients who have spontaneously cleared HCV (viral load negative, VL-, n = 37) compared to HCV genotype 1 chronically infected (VL+) subjects (n=32) and found that macrophages from VL- subjects have an elevated baseline expression of Toll-like receptor 3 (TLR3). Macrophages from HCV patients were stimulated ex vivo through the TLR3 pathway and assessed using gene expression arrays and pathway analysis. We found elevated TLR3 response genes and pathway activity from VL- subjects. Furthermore, macrophages from VL- subjects showed higher production of IFN-b and related IFN response genes by Q-PCR, and increased phosphorylation of STAT-1 by immunoblot. Analysis of polymorphisms in TLR3 revealed a significant association of intronic TLR3 polymorphism (rs13126816) with the clearance of HCV and the expression of TLR3. Of note, PBMCs from the same donors showed opposite changes in gene expression, suggesting ongoing inflammatory responses in PBMCs from VL+ HCV patients. Our results suggest that an elevated innate immune response enhances HCV clearance mechanisms and may offer a potential therapeutic approach to increase viral clearance."	Homo sapiens	0	0	0	1	1	0	0	0	0	0
GSE42694	Quiescent innate response to infective filariae by human Langerhans’ cells suggests a strategy of immune evasion	41246	Expression profiling by array	"Filarial infection is initiated by mosquito-derived, third-stage larvae (L3) deposited on the skin that transits through the epidermis containing Langerhans' cells (LC) and keratinocytes (KC), among other cells. This earliest interaction between L3 and the LC likely conditions the priming of the immune system to the parasite. To determine the nature of this interaction, human LC (Langerin+, E-cadherin+, CD1a+) were generated in vitro and exposed to live L3. LC exposed to live L3 for 48 h showed no alterations in cell surface markers CD14, CD86, CD83, CD207, E-cadherin, CD80, CD40, and HLA-DR or in mRNA expression of inflammation-associated genes such as IL-18, IL-18BP, and caspase 1. In contrast to L3, live tachyzoites of Toxoplasma gondii, an intracellular parasite, induced production of CXCL9, IP 10, and IL-6 in LC. Furthermore, pre-exposure of LC to L3 did not alter TLR3- or TLR4-mediated expression of pro-inflammatory cytokines IL-1β, IFN-γ, IL-6, or IL-10. Interestingly, co-cultures of KC and LC produced significantly more IL-18, IL-1α, and IL-8 than did cultures of LC alone, although exposure of the co-cultures to live L3 did not result in altered cytokine production. Microarray examination of ex vivo LC from skin blisters that were exposed to live L3 also showed few significant changes in gene expression compared with unexposed blisters, further underscoring the relatively muted response of LC to L3. Our data suggest that failure by LC to initiate an inflammatory response to the invasive stage of filarial parasites may be a strategy for immune evasion by the filarial parasite."	Homo sapiens	0	0	0	1	1	0	0	0	0	0
GSE43217	Gene expression profile changes in PKC-inhibitor-pretreated HT1080 cells cells after TLR3 stimulation	41274	Expression profiling by array	TLR3 stimulation by extracellular dsRNA (e.g. polyIC) induces expression of numerous genes. The inhibition of PKC by Go6976 prior to TLR3 stimulation leads to an ablation of expression of IRF-3-dependent genes.	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE43218	Gene expression profile changes in HDAC6 knockdown HT1080 cells cells after TLR3 stimulation	41274	Expression profiling by array	TLR3 stimulation by extracellular dsRNA (e.g. polyIC) induces expression of numerous genes. The knockdown of HDAC6 prior to TLR3 stimulation leads to an ablation of expression of IRF-3-dependent genes.	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE54042	"Multistrain Probiotic Modulation of Intestinal Epithelial Cells' Immune Response to a Double-Stranded RNA Ligand, Poly (I:C)"	41652	Expression profiling by array	"A commercially available product containing three probiotic bacterial strains (Lactobacillus helveticus R0052, Bifidobacterium longum subsp. infantis R0033, and Bifidobacterium bifidum R0071) was previously shown in animal trials to modulate both TH1 and TH2 immune responses. Clinical studies on this combination of bacteria have also shown positive health effects against seasonal winter diseases and rotavirus infection. The goal of this study was to use a well-established in vitro intestinal epithelial (HT-29) cell model that has been shown to constitutively express double-stranded RNA (dsRNA) sensors (Toll-like receptor 3[TLR3], retinoic acid-inducible gene I, melanoma differentiation-associated gene 5, and dsRNA-activated protein kinase). By using the HT-29 cell model, we wanted to evaluate whether or not this combination of three bacteria had the capacity to immune modulate the host cell response to a dsRNA ligand, poly(I•C). Using a custom-designed, two-color expression microarray targeting genes of the human immune system, we investigated the response of HT-29 cells challenged with poly(I•C) both in the presence and in the absence of the three probiotic bacteria. We observed that the combination of the three bacteria had a major impact on attenuating the expression of genes connected to proinflammatory TH1 and antiviral innate immune responses compared to that obtained by the poly(I•C)-only challenge. Major pathways through which the multistrain combination may be eliciting its immune-modulatory effect include the TLR3-TRIF, mitogen-activated protein kinase, and NF-KB signaling pathways.Such a model may be useful for selecting potential biomarkers for the design of future clinical trials"	Homo sapiens	0	0	0	1	1	0	0	0	0	0
GSE57512	Identification of TLR3 regulated genes in CD8 positive Dendritic cell line	41768	Expression profiling by array	"CD8 positive dendritic cell line , stimulated with or without TLR3 ligand polyI:C;	We used microarray to obtain global gene expression data of TLR3 regulated genes"	Mus musculus	0	0	0	1	0	0	0	0	0	0
GSE68820	Mouse lung tissue transcriptome response to a mouse-adapted strain of SARS-CoV in wild type C57BL6/NJ mice and TLR3-/- mice	42136	Expression profiling by array	The purpose is to determine the role of TLR3-/- on the regulation of the host immune response during lethal SARS-CoV infection	Mus musculus	0	0	0	1	0	0	0	0	0	0
GSE71731	The impact of PPARα activation on whole genome gene expression in human precision-cut liver slices	42220	Expression profiling by array	"Background: Studies in mice have shown that PPARα is an important regulator of lipid metabolism in liver and a key transcription factor involved in the adaptive response to fasting. However, much less is known about the role of PPARα in human liver. Here we set out to study the function of PPARα in human liver via analysis of whole genome gene regulation in human liver slices treated with the PPARα agonist Wy14643.;	;	Results: Quantitative PCR indicated that PPARα is well expressed in human liver and human liver slices and that the classical PPARα targets PLIN2, VLDLR, ANGPTL4, CPT1A and PDK4 are robustly induced by PPARα activation. Transcriptomics analysis indicated that 617 genes were upregulated and 665 genes were downregulated by PPARα activation (q value<0.05). Many genes induced by PPARα activation were involved in lipid metabolism (ACSL5, AGPAT9, FADS1, SLC27A4), xenobiotic metabolism (POR, ABCC2, CYP3A5) or the unfolded protein response, whereas most of the downregulated genes were involved in immune-related pathways. Among the most highly repressed genes upon PPARα activation were several chemokines (e.g. CXCL9-11, CCL8, CX3CL1, CXCL6), interferon γ-induced genes (e.g. IFITM1, IFIT1, IFIT2, IFIT3) and numerous other immune-related genes (e.g. TLR3, NOS2, and LCN2). Comparative analysis of gene regulation by Wy14643 between human liver slices and primary human hepatocytes showed that down-regulation of gene expression by PPARα is much better captured by liver slices as compared to primary hepatocytes. In particular, PPARα activation markedly suppressed immunity/inflammation-related genes in human liver slices but not in primary hepatocytes. Finally, several putative new target genes of PPARα were identified that were commonly induced by PPARα activation in the two human liver model systems, including TSKU, RHOF, CA12 and VSIG10L.;	;	Conclusion: Our manuscript demonstrates the suitability and superiority of human liver slices over primary hepatocytes for studying the functional role of PPARα in human liver. Our data underscore the major role of PPARα in regulation of hepatic lipid and xenobiotic metabolism in human liver and reveal a marked immuno-suppressive/anti-inflammatory effect of PPARα in human liver slices that may be therapeutically relevant for non-alcoholic fatty liver disease."	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE81193	Characterising the transcriptional profile of murine 3T3-L1 adipocytes with altered expression of IRF3.	42496	Expression profiling by high throughput sequencing	"The chronic inflammatory state that accompanies obesity is a major contributor to insulin resistance and other metabolic dysfunction features. Despite recent advances in our understanding of the cellular and secreted factors that promote the inflammatory milieu of obesity, we have much less insight into the transcriptional pathways that drive these processes. While most attention has focused on the canonical inflammatory transcription factor NF-KB, other potentially important factors exist, including members of the interferon regultory factor (IRF) family. Here we show that IRF3 expression is upregulated in the adipocytes of obese mice and humans. TLR3/TLR4 activation induces insulin resistance in adipocytes, which can be prevented by IRF3 knockdown. Furthermore, Irf3KO mice display improved insulin sensitivity, associated with reduced intra-adipose and systemic inflammation in the high-fat fed state, enhanced browning of subcutaneous fat, and increased adipose expression of Glut4. Taken together, our data indicates that IRF3 is a major transcriptional regulator of adipose inflammation to maintain systemic glucose and energy homeostasis."	Mus musculus	0	0	0	1	1	0	0	0	0	0
GSE79241	Gene profiling in the colon after depletion and activation of TLR3 and TLR7 signals	42444	Expression profiling by array	"TLR3 and TLR7 are critical recognition receptor which reacts with viruses. TLR3 and TLR7 contribute to many immunological pathway. Especially, TLR3 and TLR7 are clearly involved in the regulation of innate immunity in the gut. To identify the downstream target of TLR 3 and TLR7 in the IBD, we carried out microarray."	Mus musculus	0	0	0	1	0	0	0	1	0	0
GSE76397	Gene expression signatures for murine alveolar type II lung epithelial cells after tumor bearing	42367	Expression profiling by array	"To determine the influence of primary tumors on pre-metastatic lungs, we have employed whole genome microarray expression profiling as a discovery platform to identify gene signatures of alveolar type II epithelial cells (AT-II) in TLR3 deficient mice (Tlr3-/-) and wide-type (WT) littermates with tumor bearing. We subcutaneously inoculated Tlr3-/- and WT mice with Lewis lung carcinoma (LLC). Two weeks later, lung tissues from Tlr3-/- and WT mice were dissociated and AT-II cells were sorted. AT-II cells from mice without tumor bearing were set as controls."	Mus musculus	0	0	0	1	0	0	0	0	0	0
GSE67241	A positive feedback-loop regulates transcriptional response to murine pandemic influenza infection	42087	Expression profiling by array	"The biological basis for the increased severity of influenza A viruses during the 2009 influenza pandemic remains unclear. Intra-host evolution of quasispecies and strong inflammation were identified as important hallmarks of severe pandemic H1N1 influenza A virus 2009 (A(H1N1)pdm09) infection. HA-222D/G quasispecies of A(H1N1)pdm09 were shown to  undergo fast evolution and to cause severe influenza in human and mice. Here, we analysed the whole genome transcriptional response of mice infected with the A/Jena/5258/09 (mpJena/5258) virus over a period of 12 days to gain insights into the pathogenesis of A(H1N1)pdm09 HA-222D/G quasispecies on a molecular level. Remarkably, the transcriptional response to severe mpJena/5258 showed biphasic expression profile for the majority of genes which was never shown before. The gene expression analysis shows first peak with 968 differentially expressed genes at day 2 post infection (p.i.), followed by a stagnant recovery phase with 359 differentially expressed genes at day 4 p.i., and a second peak with 1001 differentially expressed genes at day 7 p.i., finally followed by a recovery phase. Using a reverse engineering strategy, a regulatory network was inferred to identify key interactions leading to severe pathogenesis of mpJena/5258. Known regulatory interactions were extracted by Pathway Studio 9.0 and softly integrated during network inference. The results demonstrate a hyper-responsive action and a positive feedback loop of IFN gamma (Ifng), Stat1 and Tlr3 signalling during mpJena/5258 infection. In conclusion, mpJena/5258 infection is associated with biphasic gene expression profile and a positive feedback mechanism of Ifng which correlates with the evolution of HA-222D/G quasispecies and leads to  overwhelming immune response. A significant correlation were found between the co-expression action of three genes (Ifng, Stat1 and Tlr3) with a phenomenological clinical symptom score."	Mus musculus	0	0	0	1	0	0	0	0	0	0
GSE92358	"Role of the endosomal TLR3, 7 and 9 receptors in anti-tumor immunity"	42717	Expression profiling by array	"Analysis of gene expression on day four and day six after tumor inoculation.;	We used microarrays to detail the global programme of gene expression underlying differences between wildtype and TLR knockout mice."	Mus musculus	0	0	0	1	0	0	0	0	0	0
GSE92646	Gene expression in normal human epidermal keratinocytes treated with poly(I:C)	42724	Expression profiling by array	"In a rare example akin to organogenesis in adult mammals, large wounds in mice lead to de novo morphogenesis of hair follicles. It is still not fully clear what controls this process, known as Wound Induced Hair Neogenesis (WIHN). In other tissues, prostaglandin E2 (PGE2) is an important effector of regeneration and has been shown to stimulate the Wnt/beta-catenin pathway, which in turn is known to control WIHN. Previously, our group has demonstrated that noncoding dsRNA released during wounding is both necessary and sufficient to stimulate WIHN through TLR3. Here, we hypothesize that dsRNA similarly induces the beta-catenin pathway through PGE2. We find that WIHN levels correlate closely to Wnt7b production in vivo, and that dsRNA potently induces Wnt7b in a manner that requires prostaglandin-endoperoxide synthase 2 (Ptgs2). The Ptgs2 inhibitor celecoxib reduces dsRNA-induced WIHN and Wnt7b, and exogenous PGE2 can rescue WIHN and Wnt7b. These results highlight noncoding dsRNA as a novel upstream coordinator of prostaglandin and Wnt levels in regeneration.;	We used microarrays to identify the human keratinocyte genes most upregulated or downregulated by poly(I:C)"	Homo sapiens	0	0	0	1	0	0	0	0	0	0
